Reporting Year,Site,Organization,FYE,Annual GL Payout,Annual Revenue,Leveraged Dollars
2005-2006,Boston,Friends of the Children (FOC BOS),8/31/05,"$64,780.00","$391,577.00","$326,797.00"
2006-2007,Boston,Friends of the Children (FOC BOS),8/31/06,"$240,000.00","$462,795.00","$222,795.00"
2006-2007,Boston,Raising A Reader - MA (RARMA BOS),12/31/07,"$203,800.00","$223,807.00","$20,007.00"
2007-2008,Boston,Friends of the Children (FOC BOS),8/31/07,"$223,250.00","$668,756.00","$445,506.00"
2007-2008,Boston,Peer Health Exchange (PHE BOS),6/30/08,"$100,000.00","$202,600.00","$102,600.00"
2007-2008,Boston,Raising A Reader - MA (RARMA BOS),12/31/08,"$140,000.00","$305,752.00","$165,752.00"
2008-2009,Boston,Friends of the Children (FOC BOS),8/31/08,"$8,668.00","$758,140.00","$749,472.00"
2008-2009,Boston,Peer Health Exchange (PHE BOS),6/30/09,"$150,000.00","$371,464.00","$221,464.00"
2008-2009,Boston,Raising A Reader - MA (RARMA BOS),12/31/09,"$106,874.00","$1,037,251.00","$930,377.00"
2008-2009,Boston,Youth Villages (YV BOS),6/30/09,"$135,000.00","$135,000.00",$0.00
2009-2010,Boston,Friends of the Children (FOC BOS),8/31/09,"$149,095.00","$1,100,000.00","$950,905.00"
2009-2010,Boston,Peer Health Exchange (PHE BOS),6/30/10,"$278,349.00","$585,381.00","$307,032.00"
2009-2010,Boston,Raising A Reader - MA (RARMA BOS),12/31/10,"$133,761.00","$1,932,026.00","$1,798,265.00"
2009-2010,Boston,Youth Villages (YV BOS),6/30/10,"$368,077.00","$5,662.00","-$362,415.00"
2010-2011,Boston,Family Independence Initiative (FII BOS),12/31/10,$0.00,"$522,796.00","$522,796.00"
2010-2011,Boston,Friends of the Children (FOC BOS),8/31/10,"$172,133.00","$1,260,000.00","$1,087,867.00"
2010-2011,Boston,Peer Health Exchange (PHE BOS),6/30/11,"$172,949.00","$610,490.00","$437,541.00"
2010-2011,Boston,Raising A Reader - MA (RARMA BOS),12/31/11,"$132,246.00","$1,298,292.00","$1,166,046.00"
2010-2011,Boston,Youth Villages (YV BOS),6/30/11,"$241,425.00","$402,362.00","$160,937.00"
2011-2012,Boston,Family Independence Initiative (FII BOS),12/31/11,"$150,000.00","$1,200,287.00","$1,050,287.00"
2011-2012,Boston,Friends of the Children (FOC BOS),8/31/11,"$6,000.00","$989,882.00","$983,882.00"
2011-2012,Boston,Peer Health Exchange (PHE BOS),6/30/12,$0.00,"$667,014.00","$667,014.00"
2011-2012,Boston,Raising A Reader - MA (RARMA BOS),12/31/12,"$37,276.00","$1,038,502.00","$1,001,226.00"
2011-2012,Boston,Single Stop USA (SSUSA BOS),12/31/11,"$125,000.00","$443,000.00","$318,000.00"
2011-2012,Boston,Youth Villages (YV BOS),6/30/12,"$170,000.00","$749,870.00","$579,870.00"
2012-2013,Boston,Family Independence Initiative (FII BOS),12/31/12,"$250,000.00","$1,327,000.00","$1,077,000.00"
2012-2013,Boston,Friends of the Children (FOC BOS),8/31/12,$0.00,"$995,888.00","$995,888.00"
2012-2013,Boston,New Teacher Center (NTC BOS),6/30/13,"$290,000.00","$290,000.00",$0.00
2012-2013,Boston,Peer Health Exchange (PHE BOS),6/30/13,$0.00,"$667,405.00","$667,405.00"
